area_sqft,bedrooms,bathrooms,distance_city_km,age_years,location_score,price
2262.1,4,2,12.52,3.3,2,4286341.0
1332.7,5,2,12.31,6.9,8,2940118.0
1505.5,5,3,3.42,4.8,4,3144530.0
1387.9,3,3,0.72,8.1,8,3430420.0
991.0,3,2,8.44,11.3,7,2459855.0
1800.0,3,2,4.4,14.7,7,3992462.0
1663.2,4,1,7.42,28.0,7,3731232.0
1676.9,5,2,3.1,36.1,2,3163463.0
1081.7,4,3,1.14,9.3,8,2741077.0
1891.0,3,2,0.5,1.4,2,3854125.0
909.4,5,1,4.1,23.9,3,2223349.0
1605.4,2,1,0.88,9.7,10,3749146.0
2166.7,1,2,1.04,11.9,7,4619166.0
1053.3,1,1,2.87,13.6,7,2605371.0
1201.8,3,1,2.92,16.5,7,2889969.0
1434.9,4,3,1.6,33.1,4,3100765.0
1223.8,2,1,0.71,45.6,5,2614122.0
857.3,5,1,14.5,42.2,7,2456180.0
1424.0,4,2,0.71,24.9,8,3482857.0
1028.2,3,3,2.16,33.0,3,2298783.0
1565.8,4,1,1.82,0.8,6,3549198.0
1078.2,3,2,10.06,28.4,9,2680018.0
1942.5,1,2,2.64,1.1,10,4438710.0
1125.9,1,2,0.66,20.6,5,2497712.0
1287.3,4,2,0.5,2.8,4,2858615.0
1684.7,2,2,6.4,6.7,9,3912428.0
969.2,5,2,6.27,3.1,4,2167009.0
1479.6,3,1,2.7,8.8,3,2869603.0
1857.5,5,3,0.68,8.0,7,4323322.0
837.4,1,3,2.32,0.7,5,1970551.0
1464.6,2,2,4.46,26.6,1,2711160.0
1491.0,2,2,6.09,28.9,8,3180126.0
1673.6,5,3,0.5,23.2,1,3495911.0
967.1,1,1,4.06,28.2,9,2562421.0
937.8,5,2,1.62,20.8,1,2075373.0
1582.7,4,3,4.8,41.6,4,3384907.0
1503.9,2,3,5.22,12.9,10,3495033.0
1487.7,2,2,12.07,13.1,4,3055327.0
1521.3,4,3,2.64,29.5,9,3647246.0
1162.0,1,1,3.86,6.4,1,2043484.0
1481.3,2,3,1.56,0.8,10,3763969.0
1502.6,3,2,1.69,20.8,9,3834380.0
1150.0,3,2,0.5,4.4,4,2784543.0
2053.0,1,3,1.68,9.6,7,4479266.0
1565.8,4,3,0.5,4.1,9,3880609.0
983.0,5,2,16.61,26.3,7,2464918.0
1629.8,1,1,4.89,47.7,2,2921461.0
1058.9,5,3,0.95,0.8,6,2702474.0
1675.5,1,1,0.62,4.0,6,3711126.0
1805.5,3,1,2.31,3.2,3,3833071.0
1112.8,4,2,1.84,16.8,4,2432269.0
1737.2,3,2,1.64,8.4,6,3564262.0
1544.5,4,2,3.16,9.1,6,3409887.0
1687.7,5,1,12.2,2.6,1,3338474.0
2063.9,1,2,4.2,8.0,10,4870123.0
1314.1,2,2,3.68,5.4,8,3303475.0
1136.2,2,1,8.21,14.2,9,2984135.0
1088.7,4,1,0.5,3.7,2,2223922.0
1114.5,4,1,1.1,14.3,4,2420801.0
1373.0,3,1,3.43,7.1,6,2924756.0
1519.4,2,3,6.11,6.4,2,2904734.0
1496.8,3,2,3.32,5.5,7,3544673.0
1689.5,5,3,0.89,16.8,6,4047578.0
1404.6,2,1,13.3,12.4,8,3240182.0
1908.7,5,1,1.99,28.6,7,4194991.0
1307.4,1,1,7.76,4.1,10,3070063.0
2352.1,3,1,11.1,0.6,1,4329870.0
1619.0,4,1,2.13,3.0,10,3981531.0
1100.0,2,2,9.33,6.3,10,2716738.0
1025.2,3,3,6.2,3.0,5,2523882.0
1568.9,4,3,11.73,1.3,6,3443873.0
1321.8,1,2,1.45,8.8,7,3163284.0
1649.9,2,2,13.39,16.9,4,3308186.0
1565.6,5,2,0.5,20.9,9,3909411.0
1374.5,1,3,7.89,7.6,1,2489622.0
1103.6,4,3,2.86,9.8,3,2407415.0
869.8,2,1,0.98,21.1,10,2601372.0
1243.7,2,3,0.5,6.5,2,2565759.0
1699.7,1,3,2.47,23.0,2,3154675.0
1474.9,2,2,2.47,51.3,1,2782080.0
964.0,4,3,1.31,31.9,3,2248083.0
1460.6,1,1,1.21,9.1,10,3715293.0
1534.9,5,3,2.55,13.0,5,3589444.0
1090.6,1,2,2.64,18.9,6,2510224.0
1453.8,1,2,2.92,6.4,8,3296463.0
1420.4,5,1,10.15,24.1,4,2975668.0
1000.0,4,1,4.72,8.6,1,1927061.0
1525.2,3,3,0.5,28.1,9,3798044.0
1596.3,3,1,3.66,4.4,3,3340655.0
1779.1,5,1,7.19,0.2,8,4204744.0
1768.8,4,2,0.5,15.0,4,3702075.0
917.8,2,2,2.75,9.0,3,1930558.0
1071.8,5,3,3.0,0.9,3,2394432.0
1580.3,3,3,15.4,10.0,4,3032763.0
1579.8,4,3,3.23,2.8,4,3254517.0
1580.3,1,3,6.93,14.9,7,3478214.0
2748.5,4,2,1.8,8.8,2,5350268.0
1599.8,4,3,7.55,2.8,8,3811433.0
1797.4,3,3,1.95,8.0,2,3487324.0
1733.9,3,1,2.81,4.0,1,3237050.0
1628.0,2,3,3.26,15.9,8,3706958.0
1289.7,2,1,13.04,5.2,4,2595822.0
1665.6,5,2,0.5,25.9,6,3860316.0
1129.5,1,3,1.1,0.2,1,2071476.0
1317.1,2,1,6.12,7.7,3,2500846.0
1230.1,3,3,4.31,14.4,7,2930969.0
1428.7,4,1,1.45,0.3,7,3198565.0
2210.1,5,3,1.71,3.6,8,4736055.0
746.5,2,2,2.29,5.9,2,1425834.0
1640.2,4,2,2.99,0.3,7,3719758.0
835.5,4,1,8.52,11.9,4,2005211.0
1234.8,2,1,0.5,14.9,6,2923580.0
1781.1,1,2,11.41,3.9,4,3715808.0
1422.5,1,3,2.66,11.8,9,3440670.0
1022.8,5,1,1.31,80.0,1,2073129.0
1149.6,1,2,3.55,32.7,1,2114161.0
1637.9,5,1,5.39,0.9,5,3521563.0
1144.4,3,2,0.5,2.1,5,2937744.0
1475.8,2,2,6.29,10.2,8,3436265.0
1416.0,4,1,7.15,4.2,7,3304548.0
1171.9,5,1,0.91,1.3,3,2461773.0
2150.4,1,2,0.92,4.4,8,4710542.0
1621.9,5,3,1.14,0.9,4,3641600.0
691.2,5,2,7.96,11.3,3,1797220.0
1465.3,1,3,1.59,10.1,2,2973911.0
1168.4,1,3,7.95,0.1,9,2916275.0
1698.4,2,3,3.89,9.9,7,3754633.0
1122.6,4,1,7.29,11.0,5,2536975.0
1359.8,2,2,4.03,14.0,9,3316860.0
1576.7,2,2,2.05,52.6,3,3290260.0
1703.0,1,3,12.08,60.8,6,3656860.0
979.9,1,3,6.28,11.2,8,2591569.0
1282.9,4,3,3.31,28.0,9,3526551.0
1233.8,5,2,5.07,1.3,4,2447206.0
1171.3,2,3,4.78,11.4,1,2219260.0
2017.9,4,2,2.22,17.0,8,4510333.0
1541.7,2,2,2.76,12.5,10,3660093.0
958.7,5,1,1.92,3.9,3,2075149.0
1721.3,2,3,25.0,1.0,6,3430543.0
2142.8,3,3,4.34,7.3,4,4310306.0
1761.4,4,3,0.5,15.6,6,4059632.0
868.2,1,1,3.66,71.9,3,1827046.0
1230.5,2,3,0.5,4.0,7,2920491.0
1843.4,4,2,1.7,37.5,2,3669950.0
1152.3,4,3,2.95,1.1,5,2888345.0
1555.3,2,2,3.82,40.1,3,2904700.0
1671.1,1,2,18.69,26.8,5,3343016.0
1075.6,1,2,20.15,0.3,3,2171937.0
1379.2,2,2,0.52,5.3,9,3422359.0
500.0,4,3,3.86,0.8,8,1911243.0
1041.5,1,1,8.49,80.0,2,1723855.0
1311.6,2,1,1.36,8.4,8,3023686.0
963.3,2,2,6.94,16.3,8,2551872.0
1971.3,2,3,10.54,4.0,10,4287579.0
899.5,4,1,5.43,40.7,3,2040903.0
1246.0,1,3,1.99,4.8,10,3275361.0
1445.8,4,1,12.83,4.5,5,3193369.0
1904.4,3,2,10.75,5.7,2,3602056.0
897.4,1,2,6.29,9.3,10,2561216.0
1807.1,4,2,2.26,0.3,6,3830875.0
1403.6,1,1,7.85,13.7,2,2589495.0
1056.5,3,3,1.9,0.5,4,2441553.0
1561.7,5,2,1.46,11.6,3,3200365.0
1469.7,2,3,3.62,9.2,1,2853760.0
1189.9,4,3,25.0,4.2,8,2809072.0
1424.4,3,2,8.16,6.0,8,3381144.0
1265.1,3,1,6.54,18.3,1,2603024.0
1439.7,1,2,3.01,0.1,6,3012252.0
1631.7,1,2,1.87,5.7,1,3069334.0
1955.1,2,1,9.69,17.1,9,4097371.0
966.8,1,3,4.19,2.5,1,1778403.0
2146.6,4,1,8.39,12.3,3,4283872.0
716.8,4,1,3.34,2.8,9,2172040.0
1346.9,4,2,7.01,2.5,1,2725587.0
1605.9,5,1,10.11,22.2,2,3202215.0
1498.3,4,1,2.48,4.6,4,3183832.0
1182.1,1,1,0.5,7.1,7,2681360.0
1327.2,1,3,1.47,19.6,8,3263286.0
1227.4,4,3,12.32,3.0,1,2461986.0
1193.7,3,2,5.82,11.4,1,2131518.0
1697.4,3,2,6.68,37.5,5,3427193.0
1525.0,3,3,1.97,12.1,8,3292849.0
1157.5,2,1,6.04,0.8,1,2016584.0
1714.9,5,2,5.2,13.4,3,3488670.0
1507.6,4,2,0.98,1.4,6,3334138.0
1684.5,2,1,17.32,5.0,1,2966860.0
1620.4,3,1,2.18,28.4,3,3419919.0
1109.9,4,1,2.0,0.2,1,2360132.0
1203.9,2,1,2.3,1.2,4,2495584.0
1661.6,1,1,0.5,6.8,9,3943564.0
1613.6,3,3,4.9,80.0,5,3537784.0
1392.7,2,1,1.36,5.2,3,2918246.0
1441.1,1,2,8.13,2.6,10,3509009.0
1847.2,3,3,2.51,12.0,7,4237115.0
1193.0,5,2,3.07,11.0,6,2977285.0
1591.5,3,1,5.2,9.0,9,3578895.0
1329.2,5,2,7.17,44.0,4,2846127.0
1323.8,5,1,1.31,4.9,4,2880355.0
1784.6,5,2,16.95,5.2,9,4276020.0
1688.9,4,2,4.87,2.3,2,3291465.0
1684.7,4,1,0.5,17.9,10,4011411.0
1856.9,5,2,2.69,5.8,2,3855402.0
1407.4,1,3,2.87,24.3,9,3413968.0
1638.7,5,2,8.28,53.5,7,3930156.0
1291.4,2,3,1.82,0.7,5,2803050.0
1513.5,5,3,2.01,74.7,5,3286188.0
1354.4,4,2,0.5,4.4,9,3603041.0
1433.9,4,3,1.67,8.2,10,3543945.0
1608.3,2,3,6.31,22.6,5,3551880.0
1113.6,2,2,5.04,16.4,9,2702059.0
2132.3,3,1,0.5,22.6,8,4749976.0
1047.9,1,1,0.61,9.4,6,2245198.0
975.0,1,3,2.37,37.2,5,2243064.0
1805.3,1,3,6.81,23.4,5,3533869.0
1677.1,4,1,8.95,5.5,5,3770409.0
1618.4,1,3,0.5,44.5,1,2946888.0
1619.9,3,1,2.0,48.7,5,3312157.0
1395.7,3,2,2.76,8.0,3,2962410.0
1086.0,1,3,12.1,15.8,6,2399246.0
1426.5,2,2,3.48,25.3,9,3501426.0
1163.0,3,1,1.57,25.5,3,2360813.0
1741.3,2,1,2.47,0.2,1,3179834.0
1348.5,4,2,2.87,14.9,8,3295044.0
1111.1,3,3,5.54,54.6,9,2725712.0
1287.5,2,2,0.5,3.9,10,3396027.0
1544.5,1,2,2.47,23.8,4,3257246.0
1202.7,4,3,5.2,11.5,10,3292985.0
1112.2,5,1,1.67,3.8,5,2725862.0
1485.3,5,2,4.48,0.8,3,2904538.0
1485.7,1,2,2.21,21.4,8,3358269.0
1222.6,4,1,7.11,5.7,3,2525951.0
1235.1,4,2,0.5,7.1,4,2974975.0
1481.2,4,1,12.5,10.0,10,3543308.0
893.2,4,3,0.94,10.6,7,2193957.0
907.4,5,1,0.86,3.5,2,1911330.0
1148.5,2,1,9.18,16.7,1,2043803.0
1325.3,4,2,10.17,17.7,4,2570708.0
1508.8,2,1,0.5,2.3,8,3650025.0
1916.4,4,1,11.97,11.4,1,3398669.0
1700.2,3,2,1.6,14.1,10,4144691.0
1344.0,3,1,4.82,3.1,3,2618765.0
1393.3,3,2,0.5,33.7,4,3189054.0
1049.1,4,3,2.4,9.9,4,2415052.0
1393.5,2,1,3.0,1.8,3,2760529.0
1299.0,5,3,4.58,6.1,3,2891065.0
1513.0,1,1,3.73,9.7,7,3207598.0
1110.5,5,1,3.09,0.2,8,2963144.0
1581.8,4,3,16.05,0.5,10,3803637.0
1936.5,3,3,1.02,0.9,4,3970971.0
1361.9,3,2,0.86,11.6,8,3314839.0
1540.6,2,2,6.25,6.1,8,3396096.0
1641.6,4,3,0.5,33.5,6,3692310.0
1259.6,5,1,3.3,12.3,1,2555741.0
1478.4,4,2,3.31,21.4,7,3150810.0
1404.4,4,1,1.86,17.4,7,3420020.0
1434.2,3,2,13.33,11.0,5,3161496.0
1129.4,5,2,1.66,20.5,6,2562173.0
1408.6,1,2,1.7,11.8,9,3145399.0
1574.3,3,3,1.33,7.3,3,3385128.0
1907.9,5,1,0.79,8.6,4,4100799.0
1735.7,2,3,2.26,27.3,9,4100330.0
2153.6,3,2,5.71,12.4,10,4681137.0
1131.4,2,3,6.78,7.1,2,2499410.0
1705.3,3,3,8.39,3.0,9,3890988.0
1464.2,4,3,1.1,10.3,5,3342405.0
2166.4,5,1,0.5,4.4,3,4430225.0
1117.1,2,3,18.38,46.7,8,2883010.0
1106.1,3,3,0.5,10.1,9,3019513.0
1190.2,2,3,16.18,0.1,1,2306497.0
656.6,3,3,8.83,1.5,5,1723840.0
1216.0,3,3,12.16,5.0,9,2934547.0
1134.3,1,3,2.45,1.5,2,2017491.0
1452.6,1,3,1.1,33.7,1,2773800.0
1519.6,1,2,4.66,28.9,8,3262108.0
2056.7,2,3,6.76,53.0,6,4292431.0
1732.6,4,3,0.7,18.4,2,3547671.0
1198.1,3,1,7.99,15.6,3,2461064.0
1085.6,5,2,1.17,38.6,5,2479904.0
1572.2,1,3,3.38,43.9,1,3052958.0
937.9,2,1,9.71,31.5,2,1870183.0
2041.0,2,3,1.07,29.7,1,3737643.0
1812.8,2,3,1.38,16.7,7,4264082.0
1235.8,5,3,0.5,0.0,7,3134768.0
800.4,5,3,0.79,8.4,10,2465484.0
1873.9,1,3,0.79,15.1,5,3828757.0
1359.9,5,1,1.14,11.9,10,3366945.0
1833.2,1,3,1.69,25.8,6,4062698.0
842.0,5,1,8.44,25.6,3,2009732.0
1190.2,5,3,12.37,13.7,2,2569114.0
1401.8,5,1,2.61,0.3,10,3672072.0
1416.4,1,2,0.69,6.9,9,3584759.0
1242.5,3,3,1.27,3.9,2,2573641.0
1618.0,1,2,6.66,6.2,1,3038485.0
1026.3,3,2,5.66,14.4,9,2633942.0
1350.2,2,2,17.09,1.0,8,3116935.0
1442.1,2,3,0.5,0.3,8,3540063.0
1580.1,1,2,6.95,8.6,7,3084658.0
1649.1,3,1,3.52,23.7,9,3754988.0
1006.4,3,3,11.65,0.5,3,2188456.0
863.1,3,2,4.29,28.4,8,2335199.0
1847.2,2,3,2.96,7.3,1,3464372.0
1516.3,1,2,5.48,1.9,1,2890660.0
1138.0,4,1,8.96,12.6,6,2565499.0
1942.9,3,3,1.66,45.7,8,4197106.0
1440.5,3,3,0.57,11.7,8,3653832.0
1812.8,4,2,2.84,17.4,10,4436504.0
1423.6,1,1,1.21,25.4,1,2582621.0
2121.3,3,3,2.81,24.1,1,4030914.0
2014.4,1,2,23.58,1.1,9,4458902.0
1312.9,3,1,4.27,20.3,9,3224421.0
1740.0,5,1,5.91,44.8,7,3915973.0
1625.9,3,1,5.66,18.1,1,3108133.0
1879.0,5,1,8.59,27.2,10,4335682.0
1062.3,1,3,14.42,10.0,2,2127892.0
1640.1,3,3,5.38,5.8,8,3678343.0
1770.4,2,1,3.23,16.9,8,3972257.0
784.4,2,2,1.91,10.2,5,1936766.0
985.9,4,2,2.23,33.8,2,2050227.0
686.3,2,1,2.04,55.0,3,1348084.0
1305.7,5,1,1.96,25.7,5,2980089.0
1651.1,2,2,5.93,73.8,3,3202007.0
1925.8,2,1,4.43,6.4,10,4281502.0
1425.9,2,1,1.13,33.9,1,2504040.0
1970.0,3,3,17.47,6.0,6,3946512.0
917.0,4,3,2.79,1.9,5,2272834.0
803.8,1,1,4.17,14.6,3,1717542.0
1380.6,4,1,6.06,9.1,9,3603781.0
1534.4,5,3,4.76,38.2,10,3835685.0
1388.6,3,1,1.86,10.2,8,3119047.0
676.4,3,3,7.99,39.4,7,1883645.0
1368.8,2,3,0.58,1.2,2,2959965.0
943.4,2,2,4.21,26.6,10,2545285.0
1634.4,5,3,1.6,21.4,5,3773259.0
1528.3,3,2,4.78,19.1,5,3298842.0
1071.0,1,2,1.23,6.6,6,2604499.0
1220.1,4,3,7.4,23.0,6,3089094.0
1029.3,3,1,1.29,9.9,3,2010603.0
1378.1,1,3,11.05,18.8,4,2926120.0
1734.3,1,2,9.89,12.1,1,3157662.0
1055.0,4,3,2.25,2.6,1,2086285.0
1576.4,1,3,2.44,1.0,5,3350190.0
1214.4,5,2,6.04,6.8,4,2918507.0
1122.5,1,3,0.5,40.5,7,2887757.0
1362.5,5,3,0.5,11.3,7,3134577.0
1037.7,1,2,0.73,24.3,4,2188264.0
1206.2,2,1,4.13,12.9,10,3195763.0
980.7,1,2,0.81,47.5,2,1965216.0
2087.7,5,2,1.63,6.9,10,4884386.0
1412.3,1,3,5.21,0.9,4,2753436.0
1155.1,1,2,0.5,22.8,8,2773079.0
1474.9,1,3,0.99,18.3,2,2758421.0
1360.7,5,3,13.29,11.2,5,2857760.0
1322.7,1,3,5.45,5.9,7,2890932.0
1615.0,4,2,1.82,3.1,10,3879527.0
1665.1,4,2,0.5,9.9,6,3659719.0
1214.3,5,3,4.41,16.5,9,3103683.0
1198.5,2,1,1.26,13.0,2,2520181.0
1303.7,4,1,16.12,8.6,4,2632102.0
594.3,3,2,5.81,11.6,7,1946888.0
869.7,4,3,18.27,1.7,8,2332776.0
1878.4,3,3,9.45,17.9,5,3961620.0
1975.7,5,2,3.3,19.9,5,4246512.0
1312.8,2,1,5.54,0.2,4,2627513.0
1601.8,3,2,8.36,4.7,9,3718999.0
1508.9,3,2,4.32,1.4,10,3658753.0
2477.6,4,3,0.5,80.0,4,5029060.0
1791.9,3,2,3.18,13.5,3,3582876.0
1355.2,5,1,0.7,9.4,9,3376497.0
1065.6,5,2,6.27,9.3,7,2727049.0
837.7,5,3,5.71,50.2,9,2514276.0
1471.2,4,1,24.74,16.2,4,3230884.0
1135.3,2,3,4.96,2.8,3,2406293.0
902.2,4,2,8.05,8.9,10,2632310.0
1173.7,5,2,1.56,22.3,8,3095838.0
1021.5,4,2,2.08,8.3,4,2257335.0
1990.5,5,3,12.45,5.6,10,4443250.0
1708.6,1,2,7.04,71.0,3,3212715.0
1397.2,1,1,5.32,41.1,4,2923581.0
1918.0,3,1,1.47,42.6,2,3845136.0
1427.1,2,3,6.0,2.1,4,2778952.0
1098.6,1,3,10.89,4.0,7,2683967.0
1933.1,5,3,1.31,8.8,3,3756602.0
1588.6,4,2,6.12,26.8,1,3104693.0
1037.0,4,1,2.5,20.0,10,2930231.0
1333.4,3,1,0.63,28.4,8,3019706.0
1093.5,4,1,7.21,38.0,6,2671422.0
916.0,1,3,0.91,22.8,3,2211814.0
1724.2,4,3,1.46,4.6,8,4041576.0
2068.3,1,2,7.64,5.0,6,4259433.0
910.5,1,3,6.78,6.5,1,1925506.0
1597.0,2,1,1.47,5.4,9,3613846.0
1172.3,3,2,14.15,4.3,9,2824737.0
1229.5,5,3,1.21,20.9,9,3179613.0
1192.7,1,3,25.0,0.5,6,2645133.0
1097.6,3,1,6.7,19.6,6,2543919.0
1417.0,5,2,2.49,26.0,4,3032918.0
1109.2,4,3,0.7,1.0,8,2932436.0
1494.7,3,3,1.93,1.0,9,3609948.0
1382.4,3,2,1.08,5.0,7,3214436.0
1316.4,3,2,4.86,3.5,7,3001924.0
1082.4,4,3,2.21,13.1,2,2236400.0
1198.1,4,3,1.75,16.9,2,2300616.0
1664.4,3,1,7.08,15.1,10,3895621.0
1575.3,2,2,1.31,6.6,2,2882696.0
1057.9,1,3,4.42,10.3,4,2390380.0
1434.8,4,3,1.08,15.3,9,3547999.0
1663.0,2,3,6.27,1.9,5,3502707.0
815.7,4,3,4.91,3.9,2,1777241.0
1590.2,3,1,8.0,33.2,4,3191369.0
1168.1,2,2,0.5,6.3,7,3012281.0
1599.7,5,3,1.18,24.2,5,3421484.0
1132.9,1,2,0.84,4.3,8,2637597.0
768.3,1,2,1.06,0.6,1,1558206.0
830.4,4,3,0.54,10.4,5,2131606.0
1416.8,1,3,4.13,33.5,4,2965216.0
1490.9,5,3,4.5,25.7,3,3236534.0
1083.5,2,1,9.27,4.4,7,2427498.0
1623.5,2,3,2.7,36.1,10,3967822.0
818.5,3,2,3.8,9.8,1,1539725.0
1376.9,2,2,23.72,0.8,6,2993947.0
976.1,4,1,3.79,0.4,8,2449069.0
1171.9,5,3,4.26,10.0,2,2523626.0
1416.6,3,3,25.0,11.9,6,3117643.0
1098.9,4,1,25.0,1.2,1,1953603.0
1265.4,4,1,2.76,38.3,6,2744305.0
1752.2,4,3,5.04,19.0,6,3938352.0
1198.1,1,3,3.28,24.2,5,2585912.0
1692.5,4,2,6.38,13.2,7,3912234.0
1004.6,1,3,13.93,16.3,5,2161250.0
1585.4,2,3,1.85,7.4,8,3853305.0
1904.5,1,2,8.54,17.1,2,3453564.0
534.9,4,2,5.32,57.4,6,1750130.0
1121.1,5,2,1.64,15.6,5,2706768.0
1602.0,5,2,7.98,6.3,10,3987306.0
1328.9,2,1,2.79,5.0,2,2490683.0
1529.9,4,2,0.64,49.6,7,3632082.0
1188.6,1,1,25.0,3.1,4,2471993.0
1430.3,5,2,2.77,24.6,6,3261418.0
1345.5,3,2,3.9,9.4,5,2714228.0
1808.7,4,2,8.25,8.8,4,3588066.0
1489.0,4,3,16.21,20.6,2,2816178.0
1518.2,3,1,10.31,2.4,7,3438169.0
1255.8,5,2,3.72,9.4,5,2845268.0
1229.3,3,3,3.94,0.5,3,2572776.0
1248.6,2,1,1.65,16.6,6,2766109.0
1538.1,1,1,3.11,0.9,8,3658976.0
